title|episodes|rate|genre|
Death Note||4.72|supernatural, thriller|
Midnight occult civil servants|15|3.88|supernatural|
Matoi the Sacred Slayer|12|4.6|supernatural|
Kuroko's Basketball|82|4.82|sports|
The Prince of Tennis II|2|4.71|sports|
He Was Anime (NFL's Mike Daniels)||5|sports|
Banpresto World Figure Colosseum||5|sports|
Gingitsune: Messenger Fox of the Gods|12|4.5|slice of life, supernatural|
Saki|38|4.7|slice of life, sports|
Saki Episode of Side A|16|4.48|slice of life, sports|
Minami Kamakura High School Girls Cycling Club|13|4|slice of life, sports|
Chi's Sweet Home - Chi's New Address||4.84|slice of life|
You and Me|13|4.64|slice of life|
You and Me 2|13|4.73|slice of life|
BLEACH|366|4.83|shonen,fantasy|
Blue Exorcist|12|4.82|shonen,fantasy|
Fairy Tail|153|4.36|shonen,fantasy|
JoJo's Bizarre Adventure|158|4.87|shonen,action,adventure,fantasy,comedy,GOD|
Astro Boy Motion Magazine||3.73|shonen,action|
Ahiru no Sora|24|4.33|shonen, sports|
MAJOR 2nd|25|4.62|shonen, sports|
MIX||4.85|shonen, sports|
HAIKYU!!|75|4.95|shonen, slice of life, sports|
Ace of the Diamond|176|4.63|shonen, slice of life, sports|
True Cooking Master Boy|12|3.52|shonen|
Naruto the Movie: Ninja Clash in the Land of Snow||5|shonen|
Naruto the Movie: Legend of the Stone of Gelel||5|shonen|
Naruto the Movie: Guardians of the Crescent Moon Kingdom||5|shonen|
Road To Ninja -Naruto the Movie||5|shonen|
Naruto Shippuden the Movie: The Will of Fire||5|shonen|
Naruto Shippuden the Movie: Blood Prison|||shonen|
Naruto Shippuden the Movie: The Lost Tower|||shonen|
Naruto Shippuuden|5|4.81|shonen|
Naruto|22|4.8|shonen|
Hunter x Hunter|148|4.85|shonen|
Fate/Zero|25|4.79|shonen|
Vampire Knight||3.67|shojo, supernatural|
Kimi ni Todoke - From Me To You||4.61|shojo|
Sailor Moon R: The Movie||5|shojo|
Ping Pong the Animation||4.96|seinen, sports|
Today's Menu for the Emiya Family|13|4.83|seinen, slice of life|
Air Master||4.5|seinen|
Occultic;Nine|12|3.68|sci-fi, supernatural, thriller|
Frankenstein Family|12|2.84|sci-fi, slice of life|
ARIA The ANIMATION||4.86|sci-fi, slice of life|
Galaxy High School||3.22|sci-fi|
Accel World||5|sci-fi|
Lily C.A.T||3.6|sci-fi|
Accel World: Infinite Burst||3.33|sci-fi|
Dai-Guard||2.5|sci-fi|
Soul Link||2|sci-fi|
Natsuyuki Rendezvous||4|romance, supernatural|
Love Stage!!|1|4.72|romance, slice of life|
Convenience Store Boy Friends|12|3.54|romance, slice of life|
Seiren|12|3.39|romance, slice of life|
Girl Friend BETA|12|3.69|romance, slice of life|
Girls Beyond the Wasteland||4.6|romance, slice of life|
The Last - Naruto the Movie||5|romance, shonen|
Lovely Complex|24|4.73|romance, shojo|
Hana Yori Dango (Boys Over Flowers)|51|4|romance, shojo|
Glass Mask||4.84|romance|
Miracle Train||4.6|romance|
Medaka Box||4.56|romance|
ORESUKI Are you the only one who loves me?|13|4.68|romance|
DAKAICHI -I'm being harassed by the sexiest man of the year-|13|4.3|romance|
Forget Me Not||4.67|romance|
Mischievous Kiss - The Movie|3||romance|
Fist of the North Star||4.67|postapocalyptic|
CHAOS;CHILD|14|3.73|mystery, thriller|
Yamishibai|91|4.38|mystery, supernatural, thriller|
The World YAMIZUKAN|13|2.6|mystery, supernatural, thriller|
Muhyo & Roji's Bureau of Supernatural Investigation|12|4.6|mystery, supernatural|
The Laughing Salesman|12|3.83|mystery, seinen, supernatural, thriller|
KAGEWANI|26|4.47|mystery, sci-fi, thriller|
Un-Go||4.66|mystery, sci-fi|
Dusk Maiden of Amnesia||4.69|mystery, romance, supernatural|
Another|12|4.71|mystery|
Angels of Death|16|3.89|mystery|
Interlude||4.16|mystery|
Tantei Team KZ Jiken Note|16|3.67|mystery|
Brave Beats|22|4.43|music, sci-fi|
Magic-Kyun! Renaissance|13|4|music, romance, supernatural|
The Idol Master||4.65|music|
LiSA TV||5|music|
Japa Con Presents: Agent HaZAP||3|music|
Frame Arms Girl|12|4.6|mechas, sci-fi, slice of life|
Mazinger Edition Z||5|mechas, sci-fi|
The Melody of Oblivion||4.23|mechas, romance, supernatural|
HEROMAN||4.55|mechas|
Demonbane||4.5|mechas|
GRANBELM|13|3.94|mechas|
Yokuwakaru Gendai Maho||4.59|magical girls|
Pretty Cure||4.56|magical girls|
Magical Play||4.34|magical girls|
Twin Angel: Twinkle Paradise||3.95|magical girls|
MARGINAL #4 the Animation|12|4.5|idols, slice of life|
B-PROJECT||3.26|idols, romance|
KING OF PRISM -Shiny Seven Stars-|12|4.18|idols, music, sports|
TSUKIPRO THE ANIMATION|13|3.75|idols, music, slice of life|
THE [email protected] CINDERELLA GIRLS|25|4.4|idols, music, slice of life|
THE [email protected] Side M|14|4.5|idols, music, slice of life|
THE [email protected] SideM  Wakeatte Mini!|12|3|idols, music, slice of life|
Music Girls|12|3.67|idols, music, shojo, slice of life|
IDOLiSH7|18|4.81|idols, music|
Idol Incidents|12|3.43|idols, music|
Million Doll|12|2.43|idols, music|
Anisong Station||4.5|idols, music|
ARP Backstage Pass|9|3.67|idols, music|
DYNAMIC CHORD|12|1|idols, music|
SHONEN HOLLYWOOD -HOLLY STAGE FOR 49-||5|idols|
Libra of Nil Admirari|12|3.94|historical, romance|
Brave 1|12|4.64|historical|
Battle Girls - Time Paradox||4.57|historical|
Folktales from Japan|3|4.77|historical|
11eyes||4.58|harem, seinen|
A Bridge to the Starry Skies - Hoshizora e Kakaru Hashi||4.68|harem, seinen|
Kamigami no Asobi|12|4.36|harem, romance, supernatural|
BONJOUR♪Sweet Love Patisserie|24|3.4|harem, romance, slice of life|
Room Mate|12|2.54|harem, romance, slice of life|
Photo Kano||3.5|harem, romance, seinen|
We, Without Wings - under the innocent sky||4.51|harem, romance|
Eromanga Sensei|12|3.79|harem, romance|
Nagasarete Airanto||4.29|harem, romance|
Code: Realize ~Guardian of Rebirth~|13|3.73|harem, mystery, romance|
La corda d’oro -Blue Sky-|12|3.23|harem, music, romance, shojo, supernatural|
La Corda d'Oro ~primo passo~ and ~secondo passo~||4.86|harem, music, romance|
Listen to Me, Girls, I’m Your Father!|12|4.68|harem|
Canvas 2: Niji Iro no Sketch||4.58|harem|
Wakakozake (Drama)||4.7|food|
Tokyo Ghoul: re||3.9|fantasy,seinen|
Death Note (Drama)|11|4.21|fantasy,mystery|
18if||3.53|fantasy, supernatural|
Maerchen Maedchen|12|3.9|fantasy, supernatural|
Hikaru no Go||4.83|fantasy, sports|
If It's for My Daughter, I'd Even Defeat a Demon Lord|12|4.3|fantasy, slice of life|
Myriad Colors Phantom World|13|3.88|fantasy, slice of life|
